booking_id,customer_name,hotel_name,country,room_type,price,rating,booking_date,status
16308,Charles Brown,Green Valley Resort,India,Family,469.94,2.9,2024-11-13,Cancelled
14784,Diane Crawford,Sunrise Resort,United States,Executive,147.89,4.0,2025-04-11,Pending
13704,Jennifer Garcia,Green Valley Resort,United Kingdom,Family,181.79,2.2,2025-07-05,Confirmed
27021,Sean Roman,Ocean View Hotel,Sri Lanka,Standard,172.57,2.2,2025-10-30,Confirmed
23834,Catherine Kim,Blue Lagoon Hotel,Singapore,Suite,78.89,4.6,2024-05-28,Cancelled
13888,Stanley Schmidt,Green Valley Resort,Australia,Standard,199.9,1.9,2024-04-22,Pending
15684,Ashley Knox,Mountain View Hotel,Sri Lanka,Deluxe,373.42,2.9,2024-02-10,Completed
12172,Jennifer David,Grand Palace Hotel,Australia,Deluxe,159.66,1.8,2024-08-31,Confirmed
16014,Michelle Hayes,Sunrise Resort,Australia,Executive,332.25,4.3,2025-11-27,Confirmed
26182,Donald Mcmahon,Royal Beach Resort,Germany,Executive,208.9,1.7,2024-11-30,Cancelled
10219,Edward Adams,Ocean View Hotel,Sri Lanka,Family,94.45,4.1,2026-03-03,Cancelled
24534,Jasmin Carter,Sunrise Resort,Australia,Suite,443.43,3.6,2024-06-25,Confirmed
24693,Joshua Austin,Blue Lagoon Hotel,Singapore,Family,402.6,4.7,2024-02-11,Confirmed
27648,Steven Benitez,Mountain View Hotel,Singapore,Suite,374.14,4.1,2024-03-13,Cancelled
15555,George Wilson,Sunrise Resort,United Kingdom,Family,212.64,4.6,2024-08-19,Completed
17160,Tamara Larson,Grand Palace Hotel,India,Executive,235.86,4.9,2024-11-27,Completed
23079,Jonathan Smith,Green Valley Resort,India,Standard,481.58,1.9,2026-05-05,Confirmed
25484,Elizabeth Mccall,Royal Beach Resort,Germany,Suite,183.39,4.3,2025-09-14,Completed
25758,Heather Stephenson,Blue Lagoon Hotel,Singapore,Executive,153.01,2.9,2024-10-01,Confirmed
29531,Kylie Harris,City Garden Hotel,Singapore,Standard,339.74,1.5,2024-02-29,Completed
12445,Jared Owens,Royal Beach Resort,Germany,Deluxe,269.76,3.5,2025-02-22,Confirmed
20663,Jacqueline Cardenas,Blue Lagoon Hotel,India,Suite,299.09,4.2,2025-11-21,Cancelled
21975,Edward Stokes,Blue Lagoon Hotel,United States,Family,187.45,3.3,2025-07-20,Pending
18917,Rebecca Leon,City Garden Hotel,Germany,Family,330.1,1.9,2026-07-20,Pending
10439,Jennifer Werner,Grand Palace Hotel,United States,Executive,423.89,2.7,2025-01-05,Cancelled
23229,Christopher Butler,Mountain View Hotel,Singapore,Executive,300.84,2.2,2024-10-04,Pending
17859,Edwin Anderson,Mountain View Hotel,United States,Family,477.64,1.8,2025-05-20,Cancelled
24364,Matthew Lewis,Blue Lagoon Hotel,United Kingdom,Standard,190.87,1.3,2026-06-25,Confirmed
14681,Jaime Montgomery,Sunrise Resort,Australia,Deluxe,489.67,1.6,2025-03-26,Pending
22287,Diana Clay,Grand Palace Hotel,Sri Lanka,Suite,368.86,3.4,2025-03-21,Confirmed
23376,Michael Wagner,Mountain View Hotel,United States,Executive,445.25,4.8,2025-12-18,Completed
16242,Kenneth Perez,Royal Beach Resort,Germany,Standard,460.57,1.7,2025-11-14,Completed
16135,Michael Freeman,City Garden Hotel,Singapore,Suite,357.61,3.0,05-Jun-2024,Confirmed
18774,Christopher Gonzalez,City Garden Hotel,United Kingdom,Standard,184.03,3.0,2025-09-05,Confirmed
21352,Rebecca Duran,City Garden Hotel,Germany,Standard,251.54,4.0,2026-03-01,Confirmed
13170,Jason Wilson,Ocean View Hotel,United States,Executive,88.24,1.1,2025-05-03,Cancelled
14141,Cole Walton,Ocean View Hotel,India,Executive,435.03,3.6,2025-01-01,Completed
22506,Amy Jackson,Royal Beach Resort,Sri Lanka,Standard,117.41,4.9,2026-02-08,Pending
27988,Vincent Payne,Sunrise Resort,Australia,Executive,340.1,3.6,2024-06-29,Cancelled
11088,Susan Mclaughlin,Mountain View Hotel,United States,Executive,346.3,4.2,2024-03-30,Completed
12609,Stephanie Collins,Royal Beach Resort,Australia,Family,305.88,4.4,2026-08-27,Completed
20981,Alexander Haney DDS,City Garden Hotel,Canada,Suite,441.12,3.4,2024-10-08,Cancelled
13430,Allen Rogers,Mountain View Hotel,Sri Lanka,Suite,223.9,2.5,2025-12-04,Completed
25669,Donna Sandoval,City Garden Hotel,Sri Lanka,Standard,388.43,2.3,2025-07-15,Pending
23847,Grace Kennedy,Ocean View Hotel,Sri Lanka,Suite,371.17,2.5,2025-10-01,Pending
14829,Christopher Watkins,City Garden Hotel,Singapore,Executive,88.45,2.6,2026-03-15,Completed
15917,Matthew Barker,Royal Beach Resort,United States,Deluxe,335.25,4.2,2026-06-13,Completed
26785,Kristin Jenkins DDS,Grand Palace Hotel, Germany,Family,104.44,3.7,2025-11-26,Confirmed
21037,Jennifer Vasquez,Green Valley Resort,Canada,Deluxe,72.25,1.0,2025-12-28,Pending
16955,Carl Anderson,Sunrise Resort,Canada,Suite,199.77,3.1,2026-03-09,Completed
15622,,Sunrise Resort,INDIA,Executive,439.63,1.6,2026-02-12,Pending
27585,Kevin Adams,City Garden Hotel,Singapore,Family,459.74,4.1,2024-09-04,Pending
23962,Frances Caldwell,Mountain View Hotel,Canada,Executive,157.45,3.3,2025-04-28,Completed
27726,Jonathan Garrett,Mountain View Hotel,India,Deluxe,52.13,4.0,2026-04-19,Pending
12880,Mark Roberts,Grand Palace Hotel,United States,Deluxe,317.76,2.9,2025-08-08,Confirmed
28179,Vickie Combs,City Garden Hotel,Australia,Suite,301.46,2.7,2025-10-09,Confirmed
26927,Stephanie Espinoza,Grand Palace Hotel,Australia,Standard,282.46,-1,2025-02-20,Completed
23925,Peter Waters,City Garden Hotel,Singapore,Deluxe,221.12,3.1,2025-10-07,Confirmed
15976,Sandy Norris,Mountain View Hotel,India,Suite,201.64,4.9,2024-12-21,Cancelled
12248,John Johnson,Blue Lagoon Hotel,Sri Lanka,Deluxe,344.18,3.2,2025-12-20,Completed
17183,Lisa Bowers,Mountain View Hotel,United States,Family,218.92,2.2,2024-09-06,Pending
27355,Richard Miller,Blue Lagoon Hotel,India,Executive,441.99,1.5,2024-02-10,Completed
10120,Kenneth Fuller,Sunrise Resort,United Kingdom,Deluxe,243.71,2.2,2025-02-08,Pending
18133,Andrew Baker,Blue Lagoon Hotel,Germany,Family,330.61,1.3,2024-08-30,Pending
10504,Rebekah Mcdowell,Blue Lagoon Hotel,Sri Lanka,Family,455.69,4.1,2025-07-03,Confirmed
11612,Megan Meza,Royal Beach Resort,United States,Standard,78.8,2.3,2025-11-26,Completed
11535,Ryan Lawrence,Ocean View Hotel, Singapore,Standard,165.94,4.1,2025-10-05,Cancelled
11035,David Montgomery,Grand Palace Hotel,Germany,Suite,356.63,1.8,2024-06-27,Cancelled
27389,Jessica Fuller,Green Valley Resort,United States,Deluxe,121.9,1.3,2025-06-21,Pending
27538,Walter Page,Ocean View Hotel,Singapore,Deluxe,160.94,4.4,2025-06-13,Completed
26419,Troy Bates,Royal Beach Resort,Canada,Suite,106.74,2.4,2025-12-26,Pending
16196,Angela Wong,Mountain View Hotel,Australia,Suite,248.76,4.5,2025-07-27,Completed
13942,Joy Bush,Ocean View Hotel,Sri Lanka,Deluxe,112.32,2.4,2024-10-16,Completed
12930,Tiffany Pugh,Sunrise Resort,Singapore,Standard,416.86,1.2,2024-02-24,Completed
25765,Wendy Gonzalez,Royal Beach Resort,Germany,Executive,417.92,4.2,2026-02-01,Pending
29430,Stacey Armstrong,Ocean View Hotel,Singapore,Standard,476.08,1.1,2024-05-11,Completed
13227,Elizabeth Griffin,Green Valley Resort,United States,Deluxe,98.52,1.7,2025-03-28,Cancelled
13208,Mason Jacobs,Blue Lagoon Hotel,Canada,Family,116.43,3.9,2024-03-08,Confirmed
25638,Cynthia Ramirez,Grand Palace Hotel,Singapore,Deluxe,386.18,1.6,2024-01-14,Completed
20258,Susan Lopez,Royal Beach Resort,Sri Lanka,Standard,280.41,4.9,2024-03-02,Cancelled
25632,Kathryn Mcconnell,Green Valley Resort,Germany,Deluxe,488.86,2.1,2026-08-29,Completed
19246,Courtney Ward,Royal Beach Resort,United States,Family,248.68,3.3,2024-07-05,Completed
23637,Jody Orozco,Blue Lagoon Hotel,Canada,Standard,100.91,4.9,2025-04-06,Pending
16138,Jordan Scott,Blue Lagoon Hotel,Sri Lanka,Deluxe,53.92,1.8,2025-04-21,Confirmed
16154,Justin Clark,Sunrise Resort,Singapore,Family,69.53,1.4,2024-03-15,Cancelled
25392,George Delgado,Royal Beach Resort,United States,Executive,368.07,2.7,2026-05-29,Pending
11289,Julia Lopez DDS,Mountain View Hotel,Australia,Standard,384.19,1.7,2024-10-23,Confirmed
16877,Paul Clark,Sunrise Resort,Sri Lanka,Suite,133.89,2.2,2024-09-10,Completed
17937,April Riley,Sunrise Resort,Sri Lanka,Suite,419.7,4.3,2025-11-05,Pending
22632,Anthony Barber,Blue Lagoon Hotel,Singapore,Suite,66.89,2.6,2025-11-05,Completed
17661,Michael Baker,Royal Beach Resort,India,Executive,346.52,3.5,2026-05-04,Pending
19398,Amy Smith,Sunrise Resort,Canada,Executive,154.51,1.2,2024-09-14,Completed
17912,Felicia Meyer,Grand Palace Hotel,Sri Lanka,Deluxe,339.48,3.7,2025-05-16,Cancelled
19412,Eric Miller,Green Valley Resort,India,Family,187.22,10,2025-04-29,Confirmed
26935,George Howard,Blue Lagoon Hotel,United States,Family,64.81,2.8,2024-11-22,Pending
22410,Aaron Edwards,Green Valley Resort,Singapore,Deluxe,223.48,3.2,2024-12-18,Cancelled
20837,Erica Dyer,Ocean View Hotel,India,Executive,421.44,1.2,2024-06-22,Completed
18350,Jamie Gordon,Sunrise Resort,United Kingdom,Standard,371.0,3.9,2026-01-31,Cancelled
26588,Melissa Noble,Blue Lagoon Hotel,United States,Family,300.62,4.1,2026-05-11,Pending
18574,Tina Ware,Grand Palace Hotel,Sri Lanka,Standard,226.4,4.4,2024-12-26,Cancelled
17286,Vincent Walker,Blue Lagoon Hotel,United Kingdom,Standard,391.96,2.7,2024-06-28,Pending
14895,Brandon Jimenez,Ocean View Hotel,Australia,Suite,182.85,4.6,2026-05-04,Pending
11573,Curtis Jordan,Sunrise Resort,United States,Suite,307.68,3.1,2024-03-19,Completed
26704,Dale Jones,Royal Beach Resort,Australia,Standard,324.71,1.6,2025-09-07,Confirmed
25025,Christopher Caldwell,Mountain View Hotel,United States,Family,318.86,3.3,2024-08-16,Completed
19329,Douglas Hill,Blue Lagoon Hotel,Canada,Family,317.79,3.2,2025-09-17,Completed
24445,Lindsey Adams,Green Valley Resort,Sri Lanka,Standard,305.7,4.3,2024-10-01,Cancelled
11298,David Williams,Royal Beach Resort,Canada,Deluxe,126.23,1.1,2025-10-17,Completed
25724,Joseph Combs,Royal Beach Resort,United Kingdom,Suite,244.74,4.5,2026-01-02,Confirmed
21209,Derrick Miller,Sunrise Resort,Canada,Standard,276.52,3.3,2024-12-16,Cancelled
17229,Melissa Wolfe,Sunrise Resort,Australia,Deluxe,230.59,4.3,2024-05-16,Cancelled
28341,Daniel Garcia,City Garden Hotel,United States,Deluxe,315.21,2.3,2024-06-12,Cancelled
17723,Ashley Martin,Royal Beach Resort,United States,Standard,273.16,3.8,2024-11-16,Completed
16832,Scott Lyons,Royal Beach Resort,United Kingdom,Standard,372.02,2.6,2024-09-08,Completed
16146,Emily Graves,Mountain View Hotel,Germany ,Deluxe,369.13,3.7,2024-07-04,Confirmed
28433,Brian Byrd,Royal Beach Resort,Canada,Deluxe,167.14,3.3,2026-03-01,Pending
12178,Julie Reid,Green Valley Resort,Sri Lanka,Family,331.93,2.3,2026-06-30,Cancelled
20978,Andrea Dalton MD,Mountain View Hotel,India,Standard,127.51,2.3,2026-04-24,Cancelled
20250,Cynthia Mccarthy,Green Valley Resort,United States,Suite,310.15,4.4,2024-11-10,Cancelled
14220,Brandon Jones,Grand Palace Hotel,India,Executive,327.2,3.1,2025-02-16,Confirmed
13596,Frederick Martinez,Sunrise Resort,Sri Lanka,Suite,59.25,4.4,2024-07-05,Cancelled
27559,Nicholas Jones,City Garden Hotel,United States,Family,217.14,2.8,2024-09-05,Completed
16545,Sara Long,Grand Palace Hotel,India,Family,405.48,1.8,2025-02-14,Completed
20475,Jose Davis,Grand Palace Hotel,Australia,Standard,134.08,1.7,2024-01-30,Completed
27797,Elizabeth Brown,Ocean View Hotel,United Kingdom,Executive,238.61,4.5,2024-01-19,Pending
17178,Michelle Jones,Royal Beach Resort,United Kingdom,Family,339.02,10,2024-04-21,Cancelled
23236,Karen Dunn,Green Valley Resort,United States,Standard,238.39,1.5,2026-03-09,Cancelled
12606,Brooke Anderson,Grand Palace Hotel,United Kingdom,Family,158.58,2.7,2024-08-23,Cancelled
20348,Michael Wood,Mountain View Hotel,Sri Lanka,Standard,419.2,3.1,2025-12-04,Pending
11979,Laura Wilson,Royal Beach Resort,Australia,Family,54.11,1.4,2025-11-11,Completed
29899,Alexander Murray,Blue Lagoon Hotel,Germany,Standard,302.81,2.1,2025-05-04,Pending
16219,Christina Johnson,Sunrise Resort,United States,Deluxe,436.14,4.7,2026-05-09,Confirmed
22218,Darrell Kidd,Ocean View Hotel,Sri Lanka,Deluxe,457.74,3.9,2025-03-20,Cancelled
11871,Scott Martin,Mountain View Hotel,Germany,Suite,91.1,1.3,2025-02-17,Cancelled
22481,Tim Richmond,City Garden Hotel,United Kingdom,Deluxe,341.11,2.6,2024-08-15,Confirmed
15889,Amber Black,Royal Beach Resort,Sri Lanka,Executive,188.01,1.3,2025-11-01,Completed
19961,Craig Mccarthy,Ocean View Hotel,Germany,Suite,466.1,3.8,2024-11-08,Completed
12027,Michelle Butler,Green Valley Resort,United States,Family,305.04,3.7,2024-02-11,Pending
15946,Lori Flores,Royal Beach Resort,Australia,Standard,63.46,4.9,2026-02-28,Pending
18608,Lindsey Bond,Sunrise Resort,India,Standard,135.93,3.0,2025-06-11,Confirmed
13529,Heather Perkins,Royal Beach Resort,United States,Suite,375.69,3.6,2025-04-19,Confirmed
10972,Kelli Schwartz,Ocean View Hotel,Sri Lanka,Standard,307.17,4.0,2025-10-23,Pending
17656,Patricia Pearson,Ocean View Hotel,Germany,Deluxe,144.45,1.1,2025-11-26,Confirmed
22059,Zachary Scott,Blue Lagoon Hotel,Australia,Family,156.21,1.5,2026-02-10,Confirmed
19846,,Green Valley Resort,Canada,Family,84.53,2.0,2024-12-16,Confirmed
27118,Ethan Hernandez,Royal Beach Resort,United States,Standard,60.05,3.4,2024-07-27,Cancelled
29933,Andrew Holmes,Ocean View Hotel,India,Executive,141.77,3.9,2026-01-12,Cancelled
15383,Laura Ryan,Royal Beach Resort,Sri Lanka,Executive,248.12,1.5,2025-11-20,Pending
10981,Ann Rivas,Green Valley Resort,India,Executive,151.06,1.5,2025-05-02,Completed
13106,Eric Black,Grand Palace Hotel,United States,Family,428.51,3.4,2024-09-10,Confirmed
23709,Sierra Jones,Mountain View Hotel,Singapore,Suite,56.88,4.7,2025-05-09,Pending
10035,Barbara Miller,Royal Beach Resort,Canada,Family,342.97,4.4,2026-05-15,Pending
19069,Nicole Walker,Green Valley Resort,Australia,Standard,454.11,3.3,2024-04-14,Completed
29076,Sheryl Butler,Ocean View Hotel,Canada,Standard,187.45,4.3,2025-05-04,Completed
21966,Tara Reed,Mountain View Hotel,United Kingdom,Deluxe,258.59,4.0,2024-08-25,Pending
26758,Kristine Manning,Royal Beach Resort,United States,Deluxe,463.9,2.2,2025-02-20,Pending
23497,Kevin Oliver MD,Blue Lagoon Hotel,United States,Family,160.64,3.2,2025-08-15,Pending
11444,Joseph Davies,City Garden Hotel,Singapore,Standard,165.22,1.8,2026-03-16,Completed
11806,Luke Moore,Royal Beach Resort,Sri Lanka,Suite,129.61,2.0,2026-02-17,Completed
22524,Brian Jackson,Sunrise Resort,Singapore,Suite,421.51,1.2,2025-04-17,Completed
29213,Alyssa Davis,Mountain View Hotel, Canada,Family,244.87,1.4,2026-01-11,Confirmed
24394,Alyssa Lopez,Blue Lagoon Hotel,Germany,Suite,414.22,1.5,2025-01-29,Confirmed
24393,Erin Abbott,Grand Palace Hotel,United Kingdom,Executive,91.29,2.4,2025-10-27,Pending
19314,Anna Walker,Blue Lagoon Hotel,Canada,Standard,151.98,1.1,2025-03-13,Completed
20366,Bobby Young,Mountain View Hotel,singapore,Family,478.86,1.9,2024-11-07,Completed
16625,Madison Ross,City Garden Hotel,United States,Executive,108.61,3.4,2024-09-18,Pending
25354,Susan Parsons,Mountain View Hotel,Sri Lanka,Standard,260.35,4.0,2024-09-16,Pending
22148,Joanna Rodriguez,City Garden Hotel,Singapore,Family,136.11,2.1,2026-01-05,Confirmed
10721,Stacy Craig,Sunrise Resort,Australia,Suite,278.7,4.5,2024-08-02,Pending
21433,Adrian Smith,Royal Beach Resort,Germany,Deluxe,405.76,3.5,2026-07-05,Completed
10209,Deborah Henderson,Ocean View Hotel,Australia,Deluxe,157.3,1.6,2025-09-21,Confirmed
11028,Preston Perez,City Garden Hotel,Australia,Deluxe,255.84,4.5,2024-10-04,Confirmed
29832,William Hobbs,Mountain View Hotel,Canada,Executive,178.04,3.6,2025-09-21,Completed
22365,Richard Sims,City Garden Hotel,Canada,Deluxe,179.79,4.7,2025-03-27,Cancelled
11531,Kendra Banks,Sunrise Resort,Canada,Standard,123.53,1.7,2024-12-24,Cancelled
18674,Laura Mendoza,Ocean View Hotel,Singapore,Family,499.59,1.3,2025-05-21,Completed
21416,David Mcdowell,Green Valley Resort,India,Deluxe,350.19,4.5,2026-03-30,Completed
10739,Brittany Harris,Green Valley Resort,Sri Lanka,Deluxe,413.35,4.6,2025-12-12,Confirmed
19983,Erik Martinez DDS,Royal Beach Resort,United Kingdom,Executive,348.02,2.7,2025-03-11,Cancelled
18374,Matthew Johnson,Green Valley Resort,Canada,Executive,260.45,2.1,2024-09-13,Confirmed
21308,Janet Ruiz,Grand Palace Hotel,India,Deluxe,209.66,1.7,2024-11-11,Pending
28325,Andre Ruiz,Ocean View Hotel,India,Family,280.71,4.9,2025-03-15,Pending
12857,Richard Adams,Ocean View Hotel,Sri Lanka,Standard,160.89,2.2,2024-03-15,Completed
21710,Jeremy Copeland,Grand Palace Hotel,Canada,Executive,329.02,2.1,07/12/2024,Pending
28735,Megan Powell,Green Valley Resort,Sri Lanka,Executive,492.94,1.1,2024-03-19,Pending
18761,Rita Brewer,Green Valley Resort,Sri Lanka,Suite,124.79,2.6,2024-05-19,Pending
28023,Phillip Burns,Green Valley Resort,India,Suite,408.77,1.6,2026-01-21,Completed
16483,Brittney Morris,City Garden Hotel,Canada,Family,232.49,4.9,2024-08-17,Cancelled
20756,Erica James,City Garden Hotel,Germany,Family,481.86,4.8,2024-10-10,Cancelled
13078,Aaron Fernandez,Mountain View Hotel,Germany,Standard,75.71,3.5,2025-03-20,Cancelled
24014,Christian Garcia,Mountain View Hotel,United States,Family,211.68,2.3,2024-04-19,Confirmed
10994,Katherine Burnett,Sunrise Resort,United States,Standard,417.37,4.8,2024-10-20,Pending
12021,Amy Williams,City Garden Hotel,Sri Lanka,Deluxe,216.01,4.5,2025-10-08,Completed
13269,Christopher Brown,City Garden Hotel,Canada,Standard,110.09,3.5,2025-11-10,Pending
13726,Brett Stein,Royal Beach Resort,India,Executive,122.15,3.0,2024-03-13,Completed
17581,Michael Sanchez,Green Valley Resort,Canada,Suite,471.39,4.3,2025-07-13,Completed
12215,Darrell King,Mountain View Hotel,Sri Lanka,Standard,97.78,2.1,2025-06-30,Confirmed
26488,Denise Wolfe,Mountain View Hotel,Germany,Family,375.76,2.0,2024-05-31,Pending
17016,Cheryl Acosta,Ocean View Hotel,United Kingdom,Standard,362.07,3.8,2025-06-14,Completed
17443,Joshua Fox,City Garden Hotel,Germany,Suite,109.66,1.3,2024-01-26,Completed
12316,Jonathan Garcia,Blue Lagoon Hotel,Australia,Executive,496.03,4.3,2025-07-05,Pending
18254,Richard Sanders,Royal Beach Resort,Canada,Standard,447.85,2.5,2024/05/11,Cancelled
13508,Kyle Stewart,Grand Palace Hotel,United Kingdom,Deluxe,312.6,1.4,2025-09-09,Cancelled
27546,William Vasquez,Grand Palace Hotel,Australia,Deluxe,109.44,4.4,2026-04-19,Confirmed
23811,Abigail Harris,Green Valley Resort,Sri Lanka,Deluxe,378.46,2.7,23/09/2025,Completed
27480,Michelle Stanley,City Garden Hotel,Canada,Standard,184.62,3.4,2026-01-30,Pending
25498,Margaret Nichols,Green Valley Resort,United Kingdom,Executive,273.16,5.0,2024-07-07,Cancelled
20712,Robert Wallace,Blue Lagoon Hotel,Australia,Family,69.25,4.5,2026-03-31,Pending
27353,James Short,Ocean View Hotel,United States,Suite,239.65,3.9,2025-11-23,Pending
20209,Kyle Padilla,Mountain View Hotel,United States,Family,373.76,1.5,2025-10-01,Confirmed
18816,Janice Davidson,Royal Beach Resort,Australia,Deluxe,426.08,3.2,2025-07-22,Confirmed
11183,Kristin Warren,Mountain View Hotel,Singapore,Executive,195.3,3.9,2025-08-10,Cancelled
27545,Andrew Baker,Ocean View Hotel,United Kingdom,Suite,335.76,3.2,2026-03-03,Cancelled
26345,Sarah Martinez,City Garden Hotel,Germany,Suite,62.17,3.8,2025-06-14,Confirmed
15736,Sean Morris,Blue Lagoon Hotel,Australia,Executive,146.95,2.6,2024-08-13,Pending
10857,Daniel Craig,City Garden Hotel,Singapore,Family,103.55,4.3,2026-06-02,Pending
19746,Kayla Brock,Sunrise Resort,Canada,Executive,376.89,4.9,2025-10-29,Confirmed
14780,Jeffrey Smith,Blue Lagoon Hotel,Sri Lanka,Suite,62.46,1.0,2026-02-10,Confirmed
17586,Elizabeth Stewart,Grand Palace Hotel,India,Family,335.51,3.3,27/05/2026,Pending
24546,Ashley Williams,City Garden Hotel,India,Executive,356.54,3.5,2026-05-29,Completed
12731,Daniel Bean,Grand Palace Hotel,United Kingdom,Family,360.38,1.8,2025-04-18,Pending
17956,Shawn Duncan,Royal Beach Resort,Singapore,Family,391.04,3.7,2024-08-05,Cancelled
27320,,Green Valley Resort,United States,Standard,468.51,1.2,2026-05-10,Confirmed
14439,Tracy Wang,Mountain View Hotel,India,Family,153.25,3.2,2024-02-12,Cancelled
12534,Susan Smith,Green Valley Resort,Singapore,Standard,417.55,4.9,2025-01-03,Pending
24780,Colleen Smith,Mountain View Hotel,United Kingdom,Family,275.98,2.3,2025-05-01,Confirmed
29767,David Eaton,Green Valley Resort,Sri Lanka,Standard,345.9,3.1,2025-10-08,Cancelled
24486,Sharon Hess,Grand Palace Hotel,India,Family,265.47,4.1,2024-10-14,Completed
17279,Corey Escobar,Royal Beach Resort,india,Standard,455.48,1.4,2026-05-22,Confirmed
18918,Charles Anderson,Green Valley Resort,Sri Lanka,Deluxe,262.41,1.8,2026-08-16,Confirmed
20841,Tiffany Lester,Mountain View Hotel,Singapore,Suite,268.32,1.3,2024-07-05,Pending
15755,Samantha Bartlett,Blue Lagoon Hotel,Sri Lanka,Deluxe,171.35,2.1,2026-05-06,Pending
25326,Brandi Roach,Green Valley Resort,India,Suite,102.98,4.1,2026-06-09,Cancelled
27455,Shawn Ryan,Grand Palace Hotel,Canada,Executive,442.26,1.1,2025-07-07,Cancelled
24403,Tiffany Washington,Sunrise Resort,Germany,Standard,273.7,2.3,2025-03-28,Confirmed
26938,Victoria Tran,Royal Beach Resort,Singapore,Executive,213.2,5.0,2025-11-24,Confirmed
11053,Janice Cain,Mountain View Hotel,United States,Executive,408.14,4.9,2024/06/25,Pending
28203,Mary Pacheco,Royal Beach Resort,Canada,Suite,138.96,4.8,2024-12-20,Completed
12352,Antonio Riley,Mountain View Hotel,United States,Suite,234.02,3.2,2025-10-02,Confirmed
16578,Luke Landry,Royal Beach Resort,Sri Lanka,Deluxe,66.43,3.8,2025-07-29,Completed
17204,Jonathan Weber,Royal Beach Resort,United Kingdom,Suite,166.41,2.0,2024-09-07,Confirmed
27327,Ashley Sweeney,Blue Lagoon Hotel, Canada,Deluxe,299.57,1.5,2024-06-17,Confirmed
28576,Matthew Roberts,Sunrise Resort,India,Executive,242.63,4.6,2024-03-18,Cancelled
19225,Kimberly Molina,Ocean View Hotel,United States,Family,467.51,2.6,2026-06-09,Cancelled
24273,Ashley Holmes,Green Valley Resort,Sri Lanka,Deluxe,409.96,4.0,2024-01-11,Completed
27219,Donald Curry,Grand Palace Hotel,India,Deluxe,69.32,1.7,11-Mar-2025,Cancelled
21643,Jimmy Torres,Royal Beach Resort,United States,Standard,283.07,4.4,2024-04-04,Confirmed
10352,Susan Mendez,Blue Lagoon Hotel,India,Deluxe,151.96,3.3,2025-11-30,Confirmed
12301,John Rocha,Green Valley Resort,United Kingdom,Suite,486.08,4.9,2024-10-11,Cancelled
19756,Gene Delgado,Blue Lagoon Hotel,United Kingdom,Standard,354.65,2.6,2025-01-28,Confirmed
11098,Elizabeth Warren,Royal Beach Resort,United Kingdom,Executive,213.31,2.2,2024-04-21,Pending
16187,Amanda Howe,Mountain View Hotel,Sri Lanka,Executive,294.65,4.6,2025-07-20,Confirmed
13503,Joseph Reed,Grand Palace Hotel,Singapore,Deluxe,257.12,2.0,2025-06-22,Pending
17803,Barbara Smith,Grand Palace Hotel,Australia,Suite,433.7,2.7,2026-06-18,Confirmed
20616,Andrew Gibson,Blue Lagoon Hotel,Sri Lanka,Executive,314.26,4.3,2024-04-21,Completed
25750,Darren Ford,City Garden Hotel,Germany,Suite,451.18,1.4,2025-10-28,Cancelled
14070,Patrick Jones,Green Valley Resort,United States,Suite,462.5,3.4,2025-11-03,Pending
19832,Matthew Briggs,Mountain View Hotel,United Kingdom,Family,213.9,1.1,2026-01-08,Confirmed
